GAME_DATE,TEAM_ID,TEAM_NAME,PTS,REB,AST,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,WIN
2015-03-09,1610612741,Chicago Bulls,91,44,18,15,35,80,0.438,10,22,0.455,11,14,0.786,0
2015-03-09,1610612748,Miami Heat,90,32,15,13,29,69,0.42,4,17,0.235,28,34,0.824,0
2015-03-10,1610612753,Orlando Magic,86,45,15,10,34,92,0.37,4,17,0.235,14,20,0.7,0
2015-03-10,1610612761,Toronto Raptors,107,46,19,9,43,97,0.443,8,26,0.308,13,18,0.722,0
2015-03-10,1610612751,Brooklyn Nets,91,41,19,12,35,84,0.417,6,16,0.375,15,23,0.652,0
2015-03-10,1610612765,Detroit Pistons,85,42,20,12,32,84,0.381,8,35,0.229,13,19,0.684,0
2015-03-10,1610612762,Utah Jazz,87,40,16,11,30,70,0.429,6,18,0.333,21,29,0.724,1
2015-03-10,1610612739,Cleveland Cavaliers,127,50,25,12,44,87,0.506,15,32,0.469,24,29,0.828,1
2015-03-10,1610612754,Indiana Pacers,118,49,37,13,45,85,0.529,17,34,0.5,11,12,0.917,1
2015-03-10,1610612759,San Antonio Spurs,117,45,24,11,41,85,0.482,11,18,0.611,24,30,0.8,1
2015-03-10,1610612747,Los Angeles Lakers,93,46,23,11,32,75,0.427,3,13,0.231,26,30,0.867,1
2015-03-10,1610612740,New Orleans Pelicans,111,41,31,10,45,87,0.517,12,21,0.571,9,11,0.818,1
2015-03-10,1610612752,New York Knicks,82,38,17,12,31,79,0.392,5,13,0.385,15,17,0.882,0
2015-03-10,1610612742,Dallas Mavericks,94,42,18,16,33,81,0.407,5,20,0.25,23,33,0.697,0
2015-03-11,1610612765,Detroit Pistons,98,49,18,13,42,98,0.429,4,12,0.333,10,12,0.833,0
2015-03-11,1610612737,Atlanta Hawks,102,32,18,17,34,81,0.42,9,27,0.333,25,27,0.926,0
